mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,emotion
-693.497,50.064392,0.57145053,14.329966,3.33637,-2.5407197,-4.057909,-10.711999,-7.2941394,1.7401888,-4.190643,1.9546617,-5.247894,5
-683.3468,48.88926,-1.6834444,19.183002,1.9695901,-0.79927224,-4.7950277,-12.3425665,-5.4474382,2.1128678,-4.2149596,1.3878554,-5.1279926,5
-677.8081,51.402702,-0.009545854,14.301585,0.7671624,-0.23838182,-6.169593,-10.741851,-7.6211886,1.2823207,-3.8150868,1.9573517,-5.7387285,5
-674.01917,50.680557,1.8782262,14.2953615,3.0691779,1.5848999,-7.4507403,-11.413989,-7.0788364,1.719448,-2.5795324,0.67467767,-4.8345685,5
-709.0568,55.734306,2.6683102,16.362572,3.3447807,-1.1248482,-5.8183928,-8.999178,-9.009146,1.8385631,-4.5968833,0.86633945,-5.2651916,1
-695.38367,61.305756,-0.60937876,14.270591,4.689145,-2.7590702,-7.0849495,-8.106919,-8.401124,2.072201,-3.7004077,-0.2917621,-5.5394864,1
-687.3386,57.97822,0.1205462,13.901185,1.8623116,1.5036601,-6.355483,-8.991886,-8.013115,2.2834187,-2.1223936,0.3225695,-5.2001863,1
-684.7476,62.274815,-0.80350286,15.693713,2.540188,1.1518118,-6.5179963,-9.151276,-7.5033703,0.7705231,-2.4292967,0.9220095,-5.0353904,1
-717.2797,63.705902,2.185003,15.6004305,3.9734344,-2.0987582,-5.9654713,-5.6292543,-8.025695,2.0974271,-1.2095826,-0.86185575,-4.9276123,1
-678.5387,59.685547,-2.253187,13.612406,1.6057175,-2.3762224,-8.6380825,-8.150352,-8.387086,2.7658782,-2.5113404,-1.7348473,-5.50506,1
-686.6206,60.743797,2.952743,10.655742,4.095188,0.53100264,-8.999028,-7.4399576,-8.886917,2.4596765,0.22016202,-0.20055765,-4.821363,1
-668.69116,55.57162,-3.7082624,15.493883,2.2411716,0.13497925,-10.878521,-10.473883,-7.871505,4.4205136,-1.9351526,-0.88532215,-6.904343,1
-630.3295,55.6712,-4.813781,14.588771,-2.4076142,-4.581675,-8.379485,-11.759979,-6.6885886,-0.13360977,-8.883384,2.21572,-7.9967484,4
-610.25165,53.78916,-5.0915856,17.256413,0.7510547,-5.3371234,-6.5750103,-12.713139,-6.5428853,2.163355,-8.146162,4.9300056,-7.620587,4
-642.02765,54.75198,-1.595633,12.084102,-1.7181451,-2.6035795,-9.18827,-13.784506,-8.069557,3.8252053,-7.9399624,2.4735312,-6.1682677,4
-635.043,48.91705,2.6972399,17.229458,-2.4455988,-0.03443679,-7.188555,-13.760003,-8.438999,1.6132656,-5.94761,2.8848557,-6.7252955,4
-583.28235,43.030334,-6.446322,5.0735974,-3.0746996,-6.6194015,-14.894287,-9.618771,-13.884317,0.38928515,-9.15282,-0.081276536,-7.749011,4
-553.44495,48.77863,-12.78945,7.1218166,-0.18348286,-7.750803,-12.239381,-12.70337,-13.085683,5.401233,-10.077121,0.43740624,-5.675435,4
-502.9581,39.65739,-10.17645,7.4239497,-3.2698536,-7.004785,-12.901739,-17.004301,-11.48712,2.4377363,-12.070529,2.5934148,-8.9989395,4
-526.3865,41.612926,-10.082785,6.4898186,-5.321777,-6.949973,-13.280163,-16.556099,-13.475017,0.0046686972,-9.6233425,2.235819,-7.8729963,4
-672.6745,55.628124,-2.9813325,17.911446,-1.3557327,-2.2840784,-8.520453,-12.987775,-7.2367268,-3.964881,-2.6637526,-1.0686533,-8.0170765,6
-681.90076,57.979427,-2.5318468,19.638681,0.21542345,0.8060541,-6.766481,-11.928689,-8.689777,-1.4771873,-3.2053082,-1.8956538,-4.3926125,6
-724.2896,53.12188,-4.346767,16.565092,-0.83157337,-1.350969,-7.08129,-12.521076,-7.2848926,-0.3624343,-2.6114583,-1.1749939,-4.9729514,6
-700.94696,54.177265,-0.24396126,17.706282,-1.0270779,2.3910537,-6.1256747,-14.298657,-7.711815,-1.6659753,-3.9821305,0.13447651,-6.7533627,6
-662.584,57.273373,0.39098683,19.980232,-0.21157777,-0.42806575,-6.633063,-11.160346,-4.329062,-1.5780946,-3.8335507,0.31630233,-6.988382,6
-616.7761,44.19108,-5.252616,11.74163,-1.7488906,-7.5162783,-9.596175,-14.499246,-9.967094,-0.5268642,-9.344144,2.0411808,-9.229865,6
-607.3722,46.99249,-4.7589264,14.507267,-1.7590175,-5.304176,-10.0034275,-18.92368,-10.607405,-0.967652,-9.14591,1.39992,-8.719287,6
-592.1494,43.21868,-3.1927974,13.183642,-3.184627,-5.195542,-10.704416,-16.344824,-9.221688,0.054166712,-7.80713,1.1822608,-9.658229,6
-533.9207,34.808804,-3.4261131,11.418904,-5.5804257,-3.6505444,-3.601674,-10.088861,-10.0481825,0.8578974,-6.8477387,0.4124901,-7.2819057,0
-518.8808,34.114517,-5.147446,7.461938,-7.525926,-4.3755774,-11.103921,-12.876059,-11.350058,-3.203446,-9.295294,-1.9130605,-7.4991107,0
-565.06146,39.882103,-0.5237036,10.3926325,-3.9166749,-3.242036,-8.386993,-13.434681,-8.818603,-2.2107716,-6.2533336,-0.28117093,-7.673859,0
-526.43665,40.063652,-3.6321185,8.937257,-4.6075783,-3.54208,-7.4274507,-15.09398,-10.16353,-1.0176435,-8.140284,2.076466,-8.9219,0
-337.0416,21.240799,-18.541842,-1.7916079,-12.514359,-6.0409007,-18.749031,-12.791589,-13.04595,-3.447812,-7.9600434,-5.017875,-8.46998,0
-357.38007,13.467957,-16.699509,-0.33295235,-11.956574,-8.441424,-13.40585,-13.720772,-15.562315,-2.2402356,-11.868927,-2.1254392,-7.298912,0
-388.52905,22.830221,-14.101694,3.032296,-8.794071,-6.9868417,-14.334492,-15.384626,-13.034373,-1.499809,-12.19949,-0.23159453,-8.77778,0
